Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover-in_crore
09-Feb-24,53536.85,54007.8,53452.75,53867.1,0.62%,44053672,3012.84
12-Feb-24,54005.55,54036,53231.5,53292.95,-1.32%,19332182,1614.51
13-Feb-24,53345.4,53534.8,53232.65,53432.05,0.16%,23524913,1775.34
14-Feb-24,53224.35,53951.7,53138.4,53839.05,1.15%,22166931,1917.89
15-Feb-24,53902,53997.65,53265.4,53321.35,-1.08%,33015952,2683.69
16-Feb-24,53465,53643.9,53186.7,53518.6,0.1%,,
19-Feb-24,53645.55,54121.6,53576,53943.3,0.56%,25245487,1656.55
20-Feb-24,53981.4,54027.15,53552.55,53882.5,-0.18%,22962435,1760.82
21-Feb-24,53975.55,54226.85,53651.25,53892.35,-0.15%,32964404,2375.05
22-Feb-24,54189.3,54479.8,53581.8,54419.2,0.42%,28952893,2359.67
23-Feb-24,54528.5,54561.55,54268.75,54337.75,-0.35%,21000310,1769.98
26-Feb-24,54312.6,54433.25,54074.55,54317.3,0.01%,16994706,1469.23
27-Feb-24,54342.8,54456.65,54128.4,54306.45,-0.07%,23585084,2223.4
28-Feb-24,54406.3,54439.15,53742.65,53824.9,-1.07%,27640613,2434.99
29-Feb-24,53836.75,54113.3,53453.5,54015.6,0.33%,37654671,3766.15
01-Mar-24,54272.85,54559.65,54062.6,54225.15,-0.09%,24531525,2365.55
02-Mar-24,54433.05,54570.75,54344.6,54466.1,0.06%,1674541,126.8
04-Mar-24,54492.85,54588.55,54102.55,54221.75,-0.5%,17200793,1729.23
05-Mar-24,54224.55,54364.95,53580.1,53653.1,-1.05%,24114757,2235.99
06-Mar-24,53657.35,53946.9,53171.75,53879.6,0.41%,23244582,2152.57
07-Mar-24,53914,54461.05,53637.1,54406.3,0.91%,36093601,2777.35
11-Mar-24,54570.85,54628.6,53970.25,54087.45,-0.89%,32035533,2960.52
12-Mar-24,53944.05,53950.25,53382.35,53636.1,-0.57%,43934073,2723.33
13-Mar-24,54844.5,54962.5,53470.25,53664.15,-2.15%,120620326,6990.84
14-Mar-24,53504.4,54252.45,53280.2,54145.8,1.2%,45473163,3375.78
15-Mar-24,54013.95,54464.95,53886.7,54155.45,0.26%,91164897,5747.94
18-Mar-24,54144.3,54189.1,53805.85,53907.85,-0.44%,26842202,2270.43
19-Mar-24,53859.55,53915.1,52626.95,52740.9,-2.08%,38473147,3558.98
